"city_name";"mundi_code";"sc_code";"neighborhood";"district";"renta_neta_media_por_persona";"renta_neta_media_por_hogar";"media_de_la_renta_por_unidad_de_consumo";"mediana_de_la_renta_por_unidad_de_consumo";"renta_bruta_media_por_persona";"renta_bruta_media_por_hogar";"edad_media_de_la_poblacion";"porcentaje_de_poblacion_menor_de_18_anos";"porcentaje_de_poblacion_de_65_y_mas_anos";"tamano_medio_del_hogar";"porcentaje_de_hogares_unipersonales";"poblacion";"porcentaje_de_poblacion_espanola";"fuente_de_ingreso_salario";"fuente_de_ingreso_pensiones";"fuente_de_ingreso_prestaciones_por_desempleo";"fuente_de_ingreso_otras_prestaciones";"fuente_de_ingreso_otros_ingresos";"cluster"
"Barcelona";"801901040";"1040";"la Barceloneta";"Ciutat Vella";12974;26410;17802;15050;15843;32250;43.2;9.1;18.1;2;44.2;1050;55.3;8430;3127;1236;538;2512;1
"Barcelona";"801901041";"1041";"la Barceloneta";"Ciutat Vella";10938;23231;15140;13650;13073;27766;38.6;9.1;10;2;43.2;1516;46.8;8849;1356;1323;494;1052;1
"Barcelona";"801901042";"1042";"la Barceloneta";"Ciutat Vella";12786;29475;18439;15750;15360;35408;46.2;11.4;24.1;2;35.7;1689;75.8;8686;3691;1061;638;1285;3
"Barcelona";"801901043";"1043";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";17139;36840;24620;19950;22011;47312;41.1;11.8;12.8;2;42.6;1503;59.4;13907;2230;928;668;4277;3
"Barcelona";"801901044";"1044";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";15882;33065;22331;17150;20380;42428;41.3;11.7;13.1;2;43.3;1370;61.1;11018;2493;972;631;5266;3
"Barcelona";"801901045";"1045";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";13430;27678;18964;15750;16858;34743;40.9;7;12.9;2;45.9;1914;50.9;10190;2166;1246;581;2675;1
"Barcelona";"801901046";"1046";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";12056;26689;17758;15050;16101;35644;39.8;8.3;12.1;2;42.2;1631;48.8;10151;2011;1108;533;2298;1
"Barcelona";"801901047";"1047";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";12522;27208;17724;12950;15640;33983;41.6;8.9;14.7;2;45.7;1690;54.2;10065;1936;1065;566;2009;1
"Barcelona";"801901048";"1048";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";9882;23023;14100;11550;11704;27267;39.7;11.9;12.2;2;39.4;2020;54.7;7210;1676;1140;594;1084;1
"Barcelona";"801901049";"1049";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";12674;31075;18219;15750;15678;38441;41.6;11.7;15.4;2;34.7;1293;53.6;9101;2558;1144;579;2296;1
"Barcelona";"801901050";"1050";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";12542;28694;17855;14350;15610;35714;40.4;11;13.7;2;39.2;1479;53.6;9867;2425;1122;509;1687;1
"Barcelona";"801901051";"1051";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";10999;25823;15631;12250;13422;31513;38.5;10.4;8.4;2;39.9;1778;48.3;9505;1273;1158;424;1063;1
"Barcelona";"801901052";"1052";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";17003;41762;25166;20650;22260;54674;41.1;12.3;13.9;2;37;2361;51.8;13225;3067;849;574;4544;1
"Barcelona";"801901053";"1053";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";11767;23897;16030;13650;14041;28516;43.9;9.4;18.9;2;44.8;1787;61.8;8282;2509;969;786;1495;1
"Barcelona";"801901054";"1054";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";12998;26825;17909;15050;15801;32608;41.9;8.4;13.9;2;45.1;1216;54.5;9549;2127;1140;666;2319;1
"Barcelona";"801901055";"1055";"Sant Pere, Santa Caterina i la Ribera";"Ciutat Vella";16057;36612;23755;19250;20034;45682;45.9;12.7;24.2;2;34.9;1281;71.9;10170;4757;778;670;3658;3
"Barcelona";"801902001";"2001";"el Fort Pienc";"Eixample";17239;41567;25500;21350;21969;52974;43.1;15.1;18.2;2;35.8;1241;72.5;13608;3510;750;889;3211;3
"Barcelona";"801902002";"2002";"el Fort Pienc";"Eixample";17205;39902;25073;22050;21581;50052;45.5;13.7;24.5;2;36.7;1728;68.8;11742;5443;777;795;2824;3
"Barcelona";"801902003";"2003";"el Fort Pienc";"Eixample";18931;44746;27508;26250;24043;56830;45.8;11.5;23.7;2;32.4;1002;82.2;14035;5629;745;850;2784;3
"Barcelona";"801902004";"2004";"el Fort Pienc";"Eixample";14587;38010;21439;19250;17893;46623;42.9;12.1;19.6;3;27.6;1512;67.1;10602;3934;883;654;1820;2
"Barcelona";"801902005";"2005";"el Fort Pienc";"Eixample";18624;44131;27050;24850;23536;55770;46.4;12.1;26.5;2;32;2041;80.3;12820;5915;739;831;3231;3
"Barcelona";"801902006";"2006";"el Fort Pienc";"Eixample";19026;44608;27542;24850;24792;58127;45.6;13.6;24.3;2;31.8;1634;73.7;14213;5319;710;691;3859;3
"Barcelona";"801902007";"2007";"el Fort Pienc";"Eixample";20370;46596;29032;26250;26133;59777;44.9;10.9;22.3;2;36.5;1152;75;14775;6014;839;721;3784;3
"Barcelona";"801902008";"2008";"el Fort Pienc";"Eixample";19026;47359;28354;24150;24301;60490;44.8;13.7;22.4;2;29.3;1858;77.3;13675;4840;784;726;4275;3
"Barcelona";"801902009";"2009";"el Fort Pienc";"Eixample";17740;45114;26323;23450;22520;57270;43.7;13.8;20.1;3;28.2;1803;74;13374;4438;797;679;3232;2
"Barcelona";"801902010";"2010";"el Fort Pienc";"Eixample";16882;44385;24833;23450;21240;55844;45;14.4;22.5;3;28.5;1191;78;11801;5129;736;677;2898;2
"Barcelona";"801902011";"2011";"el Fort Pienc";"Eixample";17933;42063;25848;22750;22708;53262;45.9;10.5;23.9;2;30.2;1098;82.7;13735;5285;740;979;1970;3
"Barcelona";"801902012";"2012";"el Fort Pienc";"Eixample";14465;37373;21478;18550;17894;46231;44.2;12.7;22.7;3;26.7;1503;75.1;9667;5022;811;632;1761;2
"Barcelona";"801902013";"2013";"el Fort Pienc";"Eixample";14990;33221;21468;19250;18612;41250;41.7;13.7;15.7;2;39.9;1157;72.4;12077;3029;938;669;1899;3
"Barcelona";"801902014";"2014";"el Fort Pienc";"Eixample";14504;33962;20872;18550;17881;41868;41.2;13.1;14.8;2;33.9;1350;72.4;12080;2654;995;511;1641;3
"Barcelona";"801902015";"2015";"el Fort Pienc";"Eixample";15355;36729;21882;19250;18903;45216;44.8;11.4;21;2;32.5;1502;71.5;11261;4163;925;701;1854;3
"Barcelona";"801902016";"2016";"el Fort Pienc";"Eixample";18550;43800;26860;23450;23529;55556;45.6;12.6;23.3;2;33.3;1840;80.1;13909;5158;758;738;2966;3
"Barcelona";"801902017";"2017";"el Fort Pienc";"Eixample";18894;45900;27906;24850;24630;59835;44.5;12.8;20.5;2;29.1;1893;77.4;15239;4606;834;784;3167;3
